Power	Flavor Text	Power Set	Prerequisites	Action	Trigger	Duration	Range	Cost	Effect	Rank
Disrupt Electronics	The character can scramble electronics by moving through them.	Phasing	Phase Self, Rank 2	Standard	None	Instant	None	5	When phasing through electronics, the character can scramble them, causing them to either shut down or crash.In the case of powers that are Tech Reliant (and feature electronics), they are unusable for one turn while they reboot.	2
Disrupt Nerves	The character can scramble someone's nervous system.	Phasing	Phase Self, Rank 2	Standard	None	Instant	None	5	When phasing through a person, the character can attempt to scramble their nervous system. The character makes an Ego check against the target's Resilience Defense. On a success, the target is stunned for one round.On a Fantastic success, the target also falls prone.	2
Do This All Day	The character draws on their inner strength to heal themselves.	Martial Arts	Rank 2	Standard	None	Instant	None	5	The character heals 2 points of Health for every point of Focus they spend.	2
Do This All Day	The character draws on their inner strength to heal themselves.	Shield Bearer	Rank 2	Standard	None	Instant	None	5	The character heals 2 points of Health for every point of Focus they spend.	2
Elemental Barrier	The character forms a wall of their element.	Elemental Control	Elemental Blast, Rank 2	Standard	None	Concentration	None	5	The character forms a wall of their element within their line of sight and up to 10 spaces away per rank. Thiscovers up to 2 spaces across (vertically/horizontally) per their rank. The character makes an Agility check and compares the results against the Agility defense of any target in the affected spaces. On a success, the character chooses which side of the barrier the target winds up on.On a failure, the target chooses. On a Fantastic success, the target suffers the element's special effect too.Attacks against the barrier are against the character's Ego Defense. Any attacks against it that do 10 points of damage or less are instantly absorbed, and the barrier continues. Ifan attack does more than 10 points of damage, it destroy the barrier. Either way, the attack leaves those behind the barrier unharmed.	2
Elemental Blast	The character blasts a foe with their element.	Elemental Control	Elemental Burst, Rank 2	Standard	None	Instant	10	5	The character makes a ranged attack with an edge at an enemy in line of sight. For this attack, add +1 to the character's Agility damage bonus for every 2 points of Focus they spend. On a success, an affected target take that total damage. On a Fantastic success, an affected target takes double that total damage and suffers the elemental type’s special effect.	2
Elemental Grab	The character uses their element to snare a target.	Elemental Control	Elemental Burst, Rank 2	Standard	None	Concentration	None	5	he character makes an Ego attack against a target's Melee defense within 5 spaces times the character's rank. If The attack is a success, the character grabs the target with their element. On a Fantastic success, the target can also be pinned and suffers the element's special effect. Breaking free requires a successful Melee check against target number 20.	2
Elemental Infusion	The character infuses a weapon with their element.	Elemental Control	Elemental Burst, Rank 2	Standard	None	Concentration	None	5	The character infuses their energy into a handheld weapon in their grasp. When the character gets a Fantastic success attacking with the weapon, add the energy’s special effect.	2
Elemental Prison	The character can create a cage of their element.	Elemental Control	Elemental Protection 1	Standard	None	Concentration	None	0	Same as the character's Elemental Protection power Effect: The character picks a point within their line of sight and traps any chosen targets within up to 5 spaces times their rank—in a prison comprised of their element. When The Elemental Prison is formed, the character makes an Ego Check and compares the results against the Agility defense of targets inside the enclosed spaces. On each success, the character traps the target within the prison perimeter.On a Fantastic success, such imprisoned people suffer full damage and the element's special effect too.Attacks against the prison are against the character's Ego defense. Any attacks against the prison are absorbed asif made against the character's Elemental Protection power,and the prison continues. If an attack does more damage than the character's Elemental Protection power can sustain, it destroys the prison, but no one inside is harmed.	2
Elemental Protection 1	The character protects themselves with their element.	Elemental Control	Elemental Barrier, Rank 2	Standard/Reaction	The character is attacked or otherwise in danger.	Concentration	None	5	The character protects themselves with their element. Any attacks against them that do 10 points of damage or less are instantly absorbed, and the protection continues. If an attack does more than 10 points of damage, it destroys the protection. Either way, the character remains unharmed.	2
Elemental Reinforcement	The character reinforces their powers with their element.	Elemental Control	Elemental Protection 1	Reaction	Damage gets through an elemental power	Instant	None	0	The character can transfer any Health damage that gets through an elemental power that grants damage protection to their Focus instead, leaving the protection intact.	2
Elemental Sphere	The character can create a protective sphere of their element.	Elemental Control	Elemental Protection 1	Standard/Reaction	None	Concentration	None	Same as the character's Elemental Protection power	The character envelops themselves—and any chosen people within up to 5 spaces times their rank—in a protective sphere comprised of their element.When the sphere is formed, the character makes an Ego Check and compares the results against the Agility defense of unwanted characters in the enclosed spaces. On a success,the character can move any unwanted people within the sphere’s perimeter to spaces outside of the sphere. On a Fantastic success,such moved people suffer full damage and the element's special effect.Attacks against the sphere are against the character's Ego defense. Any attacks against the sphere are absorbed asif made against the character's Elemental Protection power,and the sphere continues. If an attack does more damage than the character's Elemental Protection power can sustain,it destroys the sphere, but no one inside is harmed.	2
Exploit	The character ifnds a weak point and you know... exploits it.	Melee Weapons	Vicious Attack, Rank 2	Reaction	A Fantastic success on an attack using the character's weapon that deals at least 1 point of damage	Instant	None	5	The character makes a Melee attack against the target's Resilience defense score. If the attack is a success,the damage it does ignores Health Damage Reduction. on a Fantastic success, the target suffers double damage and the weapon's special effect.	2
Extend Invisibility	The character makes something else invisible.	Illusion	Invisibility	Standard	None	Concentration	None	10	The character makes something—a single person or object—within reach invisible. This can be one size bigger than them for every rank they have.	2
Extended Reach 2	The character can reach a loooooooooooong way.	Plasticity	Extended Reach 1, Rank 2	None	None	Permanent	None	0	The character's reach is 10 times normal.	2
Flames of the Faltine	The character shoots jets of enchanted ifre from their hands.	Magic	Sorcerous, Rank 2	Standard	None	Instant	10	5	The character makes an Ego check against the Agility defense of a target in their line of sight. If the attack is a success, it inflicts regular damage. On a Fantastic success, the target takes double damage and then suffers 5 points of damage at the end of every round until someone uses an action to put out the flames.	2
Flexible Bones 2	The character's skeleton is flexible and pliable.	Plasticity	Flexible Bones 1, Rank 2	None	None	Permanent	None	0	The character gains Health Damage Reduction 2. They also have a double edge on Agility checks for contortion and escape.	2
Flight 1	The character can soar into the sky.	None	Rank 2	None	None	Permanent	None	0	The character can fly. Their combat Flight Speed Is equal to their rank times their Run Speed. Outside of combat, they can move three times their Flight Speed.	2
Fool	The character makes people believe they are someone else.	Telepathy	Telepathic Link, Rank 2	Standard	None	Concentration	None	5	The character uses a mirage to alter their appearance in the minds of anyone within 20 spaces per rank. Cameras (for instance) can still record them normally, but when people look in the character's direction, they see someone else.The target number for anyone trying to see through the mirage is the character's Logic defense. If the character is impersonating someone known to the other person, that person has an edge.	2
Grappling Technique	The character snags an enemy.	Martial Arts	Rank 2	Standard	None	Instant	None	5	The character makes a close attack. If the attack isa success, the enemy takes regular damage and is grabbed.On a Fantastic success, the target takes double damage instead and is pinned too.	2
Group Flight	The character can carry others with them into the sky.	None	Flight 1, Rank 2	Standard	None	Concentration	None	5	For every point of Ego the character has, they can host one ally into the air with them. The Flight Speed of the group is half the character's, and all affected allies must remain within 5 spaces times the character's rank.The character controls each ally’s speed and position during the character's turn, but they can release any or all allies at any time.	2
Group Levitation	The character can lift others into the air too.	Telekinesis	Levitation, Rank 2	Standard	None	Concentration	None	5	The character can move up to one person per rank through the air in any direction at the character's Run Speed.The levitated target(s) must remain within 5 spaces times the character's rank. If any target does not wish to be moved like this, they must be telekinetically grabbed ifrst.	2
Growing Attack	The character attacks as they grow	Resize	Grow 1, Rank 2	Reaction	The character grows.	Instant	None	5	The character makes a close attack with an edge.If the attack succeeds, they do regular damage for the size they are growing to. On a Fantastic success, they do double damage and stun the target.	2
Hellifre Chains	The character shoots out chains imbued with the flames of Hell.	Magic	Cursed, Rank 2	Standard	None	Concentration	None	5	The character summons chains covered in hellifre and can use them to bind or smash targets. They can attack anyone within 10 spaces per rank and line of sight.Make an Ego attack. On a success, the target takes regular Health damage. On a Fantastic success, the target is grabbed and paralyzed too.If a target is grabbed by the hellifre chains, on each subsequent round, the character can make an Ego check against the target's Resilience Resilience defense to inflict regular Health damage and regular Focus damage. Breaking Free from the hellifre chains requires a Melee check with a target number of 20.	2
Hex Bolt	The character hurls a hex bolt at their foe.	Magic	Chaotic, Rank 2	Standard	None	Concentration	None	5	The character ifres a hex bolt at a foe. Make an Egocheck against the target’s Agility defense. On a success, the attack does regular damage. On a Fantastic success, it does double damage and causes the target trouble for one round.	2
Hit the Dirt	The character gets their allies to take cover.	Tactics	Keep Moving, Rank 2	Reaction	An enemy in line of sight makes an attack on an ally within earshot.	Instant	None	5	All allies within earshot can fall prone if they wish and are able to. If falling prone makes the allyan ineligible target for the initial attack, the attack automatically fails.	2
Hurled Shield Bash	The character hurls their mighty shield at an enemy.	Shield Bearer	Shield Bash, Rank 2	Standard	None	Instant	V	5	The character makes a ranged attack on an enemy. If The attack is a success, the enemy takes regular damage. on a Fantastic success, the enemy takes double damage and is knocked prone. The shield then bounces back to the character.	2
Hurled Shield Block	The character hurls their mighty shield to protect an ally from an attack.	Shield Bearer	Shield 1, Rank 2	Reaction	An enemy makes an attack against an ally’s Agility.	Instant	V	5	The ally gains Health Damage Reduction equal to the character's Shield power against that attack. The shield then bounces back to the character.	2
Hurled Shield Deflection	The character hurls their mighty shield to save an ally from an attack.	Shield Bearer	Shield Deflection, Rank 2	Reaction	An enemy makes an attack against an ally's Agility.	Instant	V	5	The enemy has trouble on the attack. The shield then bounces back to the character.	2
Icy Tendrils of Ikthalon	The character unleashes freezing tendrils at a foe.	Magic	Sorcerous, Rank 2	Standard	None	Instant	10	5	The character makes an Ego check against the Agility defense of a target in their line of sight. If the attack is a success, it inflicts regular damage. On a Fantastic success, the enemy takes double that total damage and is paralyzed by the ice.	2
Images of Ikonn	The character creates illusory duplicates of a person.	Magic	Sorcerous, Rank 2	Standard	None	Instant	None	5	The character creates one sound and sight illusory duplicate per rank of one person they've met (including themselves). The duplicates look and sound exactly like the original and are under the character's complete control. They start in the same space as the character and instantly move into any open space around them, upto 2 spaces away, during which time the character can swap places with any of the duplicates. If the characteris duplicating themselves, the character's player should secretly record which one is the actual character.The duplicates can move up to 10 spaces away from the character, and they can pretend to attack (and miss)opponents. Any attack that hits a duplicate instantly remove it. If the character successfully attacks someone or does something else to make the truth evident, the illusion ends.This spell can also be used to see through someone else's illusion. When used in this way, it gives the character a double edge on their Ego check.	2
Information Upload	The character can transmit loads of information straight into another's mind.	Telepathy	Telepathic Link, Rank 2	Standard	None	Concentration	None	5	The character transmits a knowledge-based label (a trait or tag) of their own to a target with whom they have established a telepathic link—willing or not. The label lasts until the target sleeps. The character can also impart any other kind of knowledge they have to a target this way. The process is almost instantaneous.	2
Invisibility	The character turns as transparent as glass.	Illusion	Rank 2	Standard	None	Concentration	None	5	The character becomes invisible. They have an edge on Agility checks to sneak past people, and enemies have trouble on Vigilance checks to perceive them. It’s even harder to spot things that are invisible but aren't moving. Characters must be actively trying to do so to be able to make a Vigilance check.	2
Jinx	The character puts a jinx on a foe.	Magic	Chaotic, Rank 2	Standard	None	Concentration	None	5	The character makes an Ego check against the target's Ego defense. If it succeeds, the target has trouble on all actions. On a Fantastic success, the target loses their next standard action.	2
Jump 1	The character can leap about like a frog.	Spider-Powers	Rank 2	None	None	Permanent	None	0	The character gains the Jump movement mod with a Jump Speed equal to their Run Speed. They can jump this distance in any direction, vertically as well as horizontally.	2
Jump 1	The character can leap about like a frog.	Super-Strength	Rank 2	None	None	Permanent	None	0	The character gains the Jump movement mod with a Jump Speed equal to their Run Speed. They can jump this distance in any direction, vertically as well as horizontally.	2
Leech Life	The character consumes the life force of another.	Magic	Rank 2	Reaction	None	Instant	None	5	The character makes an Ego attack against the target's Resilience defense. If it succeeds, the target takes regular Health damage, and the character heals half that much Health for themselves. On a Fantastic success, the character heals the full Health damage instead.	2
Leg Sweep	The character knocks the enemy's legs from under them.	Martial Arts	Fast Strikes, Rank 2	Standard	None	Instant	None	5	The character makes a close attack. If it succeeds,the enemy takes regular damage and is knocked prone.If it’s a Fantastic success, the enemy is stunned for one round top.	2
Memory Blip	The character erases a bit of someone’s memory.	Telepathy	Telepathic Link, Rank 2	Standard	None	Permanent	None	5	The character causes a target with whom they've established a Telepathic Link to forget something that’s happened in the past hour. This gap can be up to an hour in length. The character makes a Logic check against the target's Logic defense. On a success, the memories are forgotten. On a Fantastic success, the target has trouble on checks to recover such memories in the future. Any time the target is given good reason to question the blank in their memory, they can make a Logic check to recover their memory. If they succeed, the original memory floods back. On a Fantastic success, they know for sure who did this to them.	2
Mighty 2	The character could lift a bus.	None	Mighty 1, Rank 2	None	None	Permanent	None	0	Treat the character as two sizes bigger for lifting, carrying, swinging and throwing things. They also add +2 to their Melee damage multiplier, and they gain a +2 bonus to Melee checks other than attacks.	2
Mind Interrogation	The character can root through a target's mind.	Telepathy	Mind Reading, Rank 2	Standard	None	1 Round	None	5	The character can delve into the mind of a single person with whom they have established a telepathic link. This requires a Logic check against the target's Logic defense. On a success, the character can ask a single simple question and get the answer from the target's mind. On a Fantastic success, the character can get more complex information.	2
Mists of Munnopor	The character weaves a thick fog.	Magic	Sorcerous, Rank 2	Standard	None	Concentration	None	10	The character creates a thick fog for up to 100 spaces per rank around them that blocks all line of sight beyond 10 spaces and keeps people or creatures inside it from flying, gliding or web slinging.	2
On Your Feet	The character stands their friends on their feet.	Tactics	Keep Moving, Rank 2	Reaction	An ally in line of sight and earshot is knocked prone.	Instant	None	5	All prone allies within earshot, who are able to, can immediately stand up for free. Allies currently unable to stand up for any reason are not affected.	2
Partial Phase	The character can make a portion of themselves tangible or intangible.	Phasing	Phase Self, Rank 2	Standard	None	Concentration	None	0	The character has greater control over their phasing ability. They can make any portion of their body and clothing tangible or intangible, as they like.	2
Phase Object	The character can make something they're touching intangible.	Phasing	Phase Self, Rank 2	Standard	None	Concentration	None	5	The character can make any object they are touching intangible. The object (and things attached to or inside of it) can be up to their rank in sizes bigger than them. For example, if they are Rank 5, the object can be 5 sizes bigger than them. For an average person, this would be Gargantuan.	2
Phase Walk	The character can walk on air.	Phasing	Phase Self, Rank 2	None	None	Concentration	None	5	When phasing, the character can move freely in any direction through anything—not just air, but also If a person is inside something when they stop phasing, water, buildings and so on—at their Run Speed. The character can take anything or anyone they are phasing along with them.	2
Point-Blank Parry	When the enemy steps in, the character lets loose.	Ranged weapons	Rank 2	Reaction	An enemy within 2 spaces misses an attack against the character	Instant	None	5	The character makes a ranged attack against the enemy who missed them. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage and is bleeding.	2
Powerful Hex	The character simulates another power with their magic.	Magic	Chaotic, Rank 2	Standard	None	Varies	None	5	The character casts a hex that allows them to use any other power that they have the rank to use, even if they would not normally meet the power's other prerequisites. They must pay whatever the regular Focus cost is for that power, plus 5 Focus. If the duration of the used power is permanent, it is concentration for the character instead. If the power is a numbered permanent power (like Mighty 3), the Focus cost is 5 times that number instead. (Mighty 3 would cost 15 Focus.)	2
Quick Phase	The character can become as intangible as a ghost.	Phasing	Phase Self, Rank 2	Reaction	The character is attacked	Concentration	None	5	The character and their clothing can instantly become intangible.	2
Return Fire	The character responds to an assault with a hail of shots.	Ranged weapons	Suppressive Fire, Rank 2	Reaction	An enemy declares an attack against the character.	Instant	None	5	The character makes an Agility attack against a target's Vigilance defense. If the attack is a success, apply Health Damage Reduction normally. If it's a Fantastic success, the damage is doubled and, if the target takes any Focus damage, they are stunned for 1 round.	2
Reverse Punch	The character can reach past an enemy and punch them from behind	Plasticity	Flexible Bones 1, Rank 2	Standard	None	Instant	None	5	The character makes a close attack with an edge on an enemy. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage and is stunned for one round	2
Reverse-Momentum Throw	The character uses the momentum of their attacker to hurl them to the ground.	Martial Arts	Defense Stance, Rank 2	Reaction	None	Instant	None	5	The attacker is knocked prone and takes half the damage their attack would have inflicted if it had succeeded.	2
Shield 2	The character's shield protects them like a wall.	Shield Bearer	Shield 1, Rank 2	Standard/Reaction	The character is attacked.	Concentration	None	5	The character gains Health Damage Reduction 2.	2
Shrinking Dodge	The character shrinks to avoid an attack.	Resize	Shrink 1, Rank 2	Reaction	The character is attacked.	Instant	None	5	The attacker has trouble on the attack.	2
Silence Area	An unnatural silence falls over the area.	Illusion	Illumination, Rank 2	Standard	None	Concentration	None	5	An area up to 5 spaces wide per the character's rank—centered on anything the character wishes, within 50 spaces—is iflled with silence. Those inside the area cannot hear anything, and no one outside of it can hear any noises made inside it. The character must remain within 50 spaces of the area to avoid breaking concentration.	2
Silence Self	Silence falls on the character.	Illusion	Illumination, Rank 2	Standard	None	Concentration	None	5	The character makes no noise at all—unless they wish to. They have an edge on Agility checks to sneak past people, and enemies have trouble on Vigilance checks to perceive them.	2
Smash?	SMASH!	Super-Strength	Clobber, Rank 2	Standard	None	Instant	None	5	The character makes a close attack with an edge. For this attack, add +1 to the character's Melee damage bonus for every 2 points of Focus they spend. On a success, an affected target takes that total damage. On a Fantastic success, an affected target takes double that total damage and is stunned for one round.	2
Sniping	The character takes aim and shoots with deadly accuracy.	Ranged weapons	Rank 2	Use Both Standard and Movement	None	Instant	None	5	The character makes a ranged attack against an enemy at least 20 spaces away. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes triple damage instead.	2
Speed Blast	The character fans their arms fast enough to blast a target with a gust of air!	Super-Speed	Speed Run 2, Rank 2	Standard	None	Instant	10	5	The character makes a ranged attack. If it succeeds, the target is stunned for one round. On a Fantastic success, the character is knocked prone too.	2
Speed Run 1	The character runs as fast as a car!	Super-Speed	Rank 2	None	None	Permanent	None	0	Multiply the character's regular Run Speed by their rank to get their new Run Speed. Outside of combat, they can move three times as fast.	2
Speed Swim	The character can swim faster than a dolphin!	Super-Speed	Rank 2	None	None	Permanent	None	0	Multiply the character's regular Swim Speed by their rank to get their new Swim Speed. Outside of combat, they can move three times as fast.	2
Spin & Throw	The character throws a grabbed foe to the ground.	Martial Arts	Grappling Technique, Rank 2	Reaction	An enemy the character can pick up is grabbed.	Instant	None	5	The character makes a Melee attack against the grabbed foe. If the attack is a success, the enemy takes regular damage and is knocked prone. On a Fantastic success, the enemy takes double damage and is knocked prone, pinned and stunned for one round. Either way, the character can move the enemy to any open space within reach.	2
Stilt Steps	The character can stretch their legs like extendable stilts.	Plasticity	Extended Reach 1, Rank 2	Movement	None	Instant	None	0	The character's Run Speed doubles, as does their Climb Speed.	2
Stopping Power	The character keeps shooting at the target.	Ranged weapons	Double Tap, Rank 2	Standard	None	Instant	None	5	The character makes a ranged attack on an enemy. If the attack is a success, the enemy takes regular damage. On a Fantastic success, the enemy takes double damage, and the character can make another regular ranged attack on the same target.	2
Sturdy 2	The character is protected as if by steel.	None	Sturdy 1, Rank 2	None	None	Permanent	None	0	The character gains Health Damage Reduction 2.	2
Telekinetic Attack	The character can punch or choke an enemy with their mind.	Telekinesis	Telekinetic Manipulation, Rank 2	Standard	None	Concentration	None	5	The character makes a Logic attack against the Melee defense of a target within 5 spaces times the character's rank. If the attack is a success, it inflicts regular damage. On a Fantastic success, the damage is doubled instead, and the target is stunned for one round.	2
Telekinetic Barrier	The character forms a protective barrier with their mind.	Telekinesis	Telekinetic Grab, Rank 2	Standard	None	Concentration	None	5	The character forms an invisible barrier in their line of sight and up to 10 spaces away per rank. This covers up to 2 spaces across (vertically/horizontally) per their rank. The character makes a Logic check and compares the results against the Agility defense of any target in the affected spaces. On a success, the character chooses which side of the barrier the target winds up on. On a failure, the target chooses. On a Fantastic success, the target is paralyzed for one round too. Attacks on the barrier are against the character's Logic defense. Any attacks on it that do 10 points of damage or less are instantly absorbed, and the barrier continues. If an attack does more than 10 points of damage, it destroys the barrier. Either way, the attack leaves those behind the barrier unharmed.	2
Telekinetic Grab	The character can grab a foe with their mind.	Telekinesis	Telekinetic Manipulation, Rank 2	Standard	None	Concentration	V	5	The character makes a Logic attack against the Melee defense of a target within 5 spaces times the character's rank. If the attack is a success, the character grabs the target with their mind. On a Fantastic success, the target can also be pinned. Breaking free requires a successful Melee check against target number 20.	2
Telekinetic Protection 1	The character uses their mind to physically protect themselves	Telekinesis	Telekinetic Barrier, Rank 2	Standard/Reaction	The character is attacked or otherwise in danger.	Concentration	None	5	The character's personal telekinetic ifeld protects them. Any attacks against them that do 10 points of damage or less are instantly absorbed, and the protection continues. If an attack does more than 10 points of damage, it destroys the protection. Either way, the character remains unharmed.	2
Telekinetic Reinforcement	The character reinforces their defenses with their mind.	Telekinesis	Telekinetic Protection 1	Reaction	A character using a telekinetic power that grants damage protection is attacked.	Instant	None	V	The character can transfer any Health damage that gets through a telekinetic power that grants damage protection to their Focus instead, leaving the protection intact.	2
Telekinetic Sphere	The character can create a protective sphere with their mind.	Telekinesis	Telekinetic Protection 1	Standard/Reaction	The character is attacked or otherwise in danger.	Concentration	None	V	The character envelops themselves—and any chosen people within up to 5 spaces times their rank—in a protective telekinetic sphere. When the sphere is formed, the character makes a Logic check and compares the results against the Agility defense of unwanted characters in the enclosed spaces. On a success, the character can move any unwanted people within the sphere’s perimeter to spaces outside of the sphere. On a Fantastic success, such moved people suffer full damage. Attacks on the sphere are against the character's Logic defense. Any attacks on the sphere are absorbed as if made against the character's Telekinetic Protection power, and the sphere continues. If an attack does more damage than the character's Telekinetic Protection power can sustain, it destroys the sphere, but no one inside is harmed.	2
Telepathic Blast	The character can mentally blast a foe's mind.	Telepathy	Telepathic Link, Rank 2	Standard	None	Instant	None	5	The character makes a Logic attack against a target in line of sight. If the attack is a success, it inflicts regular Focus damage. On a Fantastic success, the target takes double damage instead and is stunned for one round.	2
Telepathic Network	The character can speak telepathically with a group of people.	Telepathy	Telepathic Link, Rank 2	Standard	None	Concentration	None	5	The character can communicate telepathically with a group of willing, linked people, each of whom they have met or seen before. The communication can be verbal, visual or even more complex, such as imparting location information. The group can number up to ifve people per rank. There is no limit to the distance of the communication, as long as everyone involved is in the same dimension.	2
Uncanny 2	The character's mind is protected as if by steel.	None	Uncanny 1, Rank 2	None	None	Permanent	None	0	Any damage multiplier for attacks against the character's Focus is reduced by 2.	2
Webgliding	The character glides using their webs.	Spider-Powers	Webcasting, Rank 2	None	None	Permanent	None	0	The character gains the Glide movement mode with a speed equal to double their Run Speed. 	2
Webgrabbing	The character snares a target in a web	Spider-Powers	Webcasting, Rank 2	Standard	None	Instant	10	5	The character makes a ranged attack on an enemy. If the attack is a success, the character greats the target with a web. On a Fantastic success, the target can also be pinned. Breaking free from webbing requires a Melee check (target number 20).	2
Webslinging	The character can swing through the city using webs	Spider-Powers	Webcasting, Rank 2	None	None	Permanent	None	0	The character gains the swingline movement mode, with a Speed equal to triple their Rum Speed. The reach of their swingline is equal to their Swingline Speed.	2
Whirling Frenzy	The character assaults a foe with a tornado of whirling attacks	Melee Weapons	Fast Attacks, Rank 2	Standard	None	Instant	None	5	The character makes an Agility check and compares against the Agility defense of every enemy within reach. If an attack is a success, the enemy takes half regular damage. On a FAntastic success the enemy takes full damage and suffers a weapon's special effect.	2
Winds of Watoomb	The character creates strong winds for protection	Magic	Sorcerous, Rank 2	Standard/Reaction	Damage gets through the Shield of the Seraphim.	Instant	None	10	The character conjures swirling winds that they control, All movement by a foe within 10 spaces per the character's rank is cut in half The character can also use this spell to push away smoke, mist, or fog If such a thing was created by a power, the character makes an Ego check wah an edge against the Ego defense of the opposing comtretier. On a success. the controller's power ends On a Fantastic success, the controller is Knocked prone Additionally, the Winds of Watoomb can be used to reinforce the Shield of the Seraphim. The character can transfer any Health damage that gets through the Seraphim’s protection to their Focus instead, leave the Shield of the Seraphim intact	2
Accuracy 3	The character could hit a fly at one hundred paces.	None	Accuracy 2, Rank 3	None	None	Permanent	None	0	The character adds +3 to their Agility damage multiplier, and they gain a +3 bonus to Ability checks other than attacks.	3
Always Ready	The character is prepared to ifght.	Martial Arts	Do This All Day, Rank 3	None	None	Permanent	None	0	The character gains one additional reaction perround, which can be used only to activate a Martial Arts power.	3
Astral Form	The character can enter the Astral Plane.	Telepathy	Sorcerous, Rank 3	Standard	None	Concentration	None	5	The character can project an avatar into the Astral Plane, leaving their physical body in a deep trance in the real world, where it is vulnerable to attack. While in the Astral Plane, they can interact with other characters in the Astral Plane, but they are intangible, invisible and generally undetectable in the real world. However, they can sense things in the real world. If the character is Rank 4 or higher, they can also take on a transparent form that can be seen in the real world.While in the Astral Plane, the character can fly, and in combat, their Flight Speed is equal to their rank times their Run Speed. Outside of combat, they can move 10 times as fast.	3
Blink Defense	The character teleports a short distance away.	Teleportation	Blink, Rank 3	Reaction	The character or an ally within reach is the subject of a ranged attack.	Instant	None	10	The character pops away just as the attack reaches them and then pops back into the same space, leaving the projectile behind. The character makes an Ego check with an edge against the attacker's Agility check result. On a success, the projectile from the attack is teleported away, someplace safe. On a Fantastic success, the attack is turned against the attacker, using the Ego check the character just made as the attack check.	3
Brace for Impact	The character mentally toughens themselves for a ifght.	Shield Bearer	Do This All Day, Rank 3	Reaction	An enemy deals physical damage to the character.	Instant	None	0	For every point of Focus spent, the character can ignore 1 point of Health damage dealt by the attack.	3
Brilliance 3	Little can stop the character's mind.	None	Brilliance 2, Rank 3	None	None	Permanent	None	0	The character adds +3 to their Logic damage multiplier, and they gain a +3 bonus to Logic checks other than attacks.	3
Catch Bullets	The character is fast enough to catch bullets—safely!	Super-Speed	Speed Run 2, Rank 3	Reaction	None	Instant	None	10	A ranged attack using physical projectiles(arrows, bullets and so on) is made against the character—or a character within their character's reach.	3
Cloak Group	The character mentally hides themselves and their friends.	Telepathy	Cloak, Rank 3	Standard	None	Concentration	None	10	Using a mirage, the character blocks their presence—and the presence of up to one other person perrank, within 10 spaces—from the minds of people within 20 spaces per rank. Cameras (for instance) can still record them, but when people look in the characters’ direction,they see nothing there.	3
Coiling Crush	The character wraps around a target and crushes it.	Plasticity	Extended Reach 1, Reverse Punch, Rank 3	Reaction	The character grabs an enemy.	Concentration	None	10	The character makes a Melee attack. On a success,the enemy is paralyzed. On a Fantastic success, the enemy also takes regular damage. During the character's subsequent turns, they can spend their movement actions to make a Melee check against the enemy's Resilience. If This succeeds, they inflict regular Health damage. On a Fantastic success, they do double damage instead.During the paralyzed enemy’s turn, they can make a Melee Check against the character's Melee defense to break free.	3
Combat Support	The character gives a friend a hand.	Tactics	Change of Plans, Rank 3	Standard	None	1 Round	None	10	Once per battle, the character chooses an ally in earshot. If the ally makes an action check before the start of the character's next turn, the ally automatically rolls a1on their Marvel die, and that die cannot be affected by trouble.	3
Control Weather 2	The character can make it storm.	Weather Control	Control Weather 1, Rank 3	Standard	None	Concentration	None	10	It starts to storm in an area up to 5 miles across times the character's rank, centered on the character. Allranges and all speeds are cut in half.	3
Covering Fire	The character covers an ally’s attack.	Ranged weapons	Return Fire, Rank 3	Reaction	An ally within the character's line of sight begins its turn.	Instant	None	10	The character makes an Agility attack against a target's Vigilance defense. If the attack is a success, applyHealth Damage Reduction normally. The target take any damage to their Focus. If it's a Fantastic success, the damage is doubled, and if the target takes any Focus Damage, they are stunned for one round.	3
Crimson Bands of Cyttorak	The character unleashes red bands of magic that lash out to capture their target.	Magic	Sorcerous, Rank 3	Standard	None	Concentration	20	10	The character makes an Ego check with an edge against the Melee defense of a target in their line of sight.If the attack is a success, the crimson bands paralyze the target. On a Fantastic success, the target can be pinned too.Breaking out of the crimson bands requires a Melee check with target number 20.	3
Dance of Death	The character spins about, shooting at every enemy around them.	Ranged weapons	Slow-Motion Shoot-Dodge, Rank 3	Standard	None	Instant	None	10	The character makes an Agility check and compares that against the Agility defense of every enemy within 10 spaces and in their line of sight. Each success is half the regular damage. On a Fantastic success, each enemy takes full damage instead and is bleeding.	3
Dimensional Travel	The character moves from one dimension to another.	Omniversal Travel	Rank 3	Standard/Movement	None	Instant	None	10	The character instantly moves from their current dimension to another dimension within the same universe. For instance: from Earth to Asgard, Limbo orK’un-Lun. When they move to the other dimension, they can arrive in any place they've been to before. Otherwise,they arrive at the most common entrance to that dimension.	3
Dimensional Travel Together	The character brings someone with them to another dimension.	Omniversal Travel	Dimensional Travel, Rank 3	Standard/Movement/Reaction	The target is grabbed.	Instant	None	10	The character moves to a different dimension,taking any person they are touching with them. If the target does not wish to come along, the character must grab them ifrst.When they move to the other dimension, they can arrive in any place they've been to before. Otherwise, they arrive at the most common entrance to that dimension.	3
